"","subject","item","region","measure","proficiency","sort","condition","skips","rawdata","nozero","ambiguity","continuation","trimmed_nozero"
"7641",1,28,"spillover2","fp",73,"spillover2 fp",8,0,751,751,"Unambiguous","Inconsistent",751
"7643",1,46,"spillover2","fp",73,"spillover2 fp",6,0,509,509,"Unambiguous","Consistent",509
"7645",1,40,"spillover2","fp",73,"spillover2 fp",8,0,716,716,"Unambiguous","Inconsistent",716
"7647",1,25,"spillover2","fp",73,"spillover2 fp",5,0,872,872,"Ambiguous","Consistent",872
"7649",1,42,"spillover2","fp",73,"spillover2 fp",6,0,544,544,"Unambiguous","Consistent",544
"7651",1,37,"spillover2","fp",73,"spillover2 fp",5,0,934,934,"Ambiguous","Consistent",934
"7653",1,26,"spillover2","fp",73,"spillover2 fp",6,0,639,639,"Unambiguous","Consistent",639
"7655",1,30,"spillover2","fp",73,"spillover2 fp",6,0,164,164,"Unambiguous","Consistent",164
"7657",1,32,"spillover2","fp",73,"spillover2 fp",8,0,581,581,"Unambiguous","Inconsistent",581
"7659",1,31,"spillover2","fp",73,"spillover2 fp",7,0,644,644,"Ambiguous","Inconsistent",644
"7661",1,47,"spillover2","fp",73,"spillover2 fp",7,0,1126,1126,"Ambiguous","Inconsistent",1126
"7663",1,44,"spillover2","fp",73,"spillover2 fp",8,0,977,977,"Unambiguous","Inconsistent",977
"7665",1,27,"spillover2","fp",73,"spillover2 fp",7,0,728,728,"Ambiguous","Inconsistent",728
"7667",1,33,"spillover2","fp",73,"spillover2 fp",5,0,697,697,"Ambiguous","Consistent",697
"7669",1,45,"spillover2","fp",73,"spillover2 fp",5,0,1066,1066,"Ambiguous","Consistent",1066
"7671",1,34,"spillover2","fp",73,"spillover2 fp",6,0,821,821,"Unambiguous","Consistent",821
"7673",1,35,"spillover2","fp",73,"spillover2 fp",7,0,1069,1069,"Ambiguous","Inconsistent",1069
"7675",1,29,"spillover2","fp",73,"spillover2 fp",5,0,1083,1083,"Ambiguous","Consistent",1083
"7677",1,41,"spillover2","fp",73,"spillover2 fp",5,0,499,499,"Ambiguous","Consistent",499
"7679",1,38,"spillover2","fp",73,"spillover2 fp",6,0,486,486,"Unambiguous","Consistent",486
"7681",1,43,"spillover2","fp",73,"spillover2 fp",7,0,368,368,"Ambiguous","Inconsistent",368
"7683",1,39,"spillover2","fp",73,"spillover2 fp",7,0,1006,1006,"Ambiguous","Inconsistent",1006
"7685",1,48,"spillover2","fp",73,"spillover2 fp",8,0,456,456,"Unambiguous","Inconsistent",456
"7687",1,36,"spillover2","fp",73,"spillover2 fp",8,0,793,793,"Unambiguous","Inconsistent",793
"7689",2,32,"spillover2","fp",73,"spillover2 fp",5,0,1280,1280,"Ambiguous","Consistent",1280
"7691",2,48,"spillover2","fp",73,"spillover2 fp",5,0,445,445,"Ambiguous","Consistent",445
"7693",2,40,"spillover2","fp",73,"spillover2 fp",5,0,623,623,"Ambiguous","Consistent",623
"7695",2,28,"spillover2","fp",73,"spillover2 fp",5,0,425,425,"Ambiguous","Consistent",425
"7697",2,38,"spillover2","fp",73,"spillover2 fp",7,0,311,311,"Ambiguous","Inconsistent",311
"7699",2,42,"spillover2","fp",73,"spillover2 fp",7,0,213,213,"Ambiguous","Inconsistent",213
"7701",2,37,"spillover2","fp",73,"spillover2 fp",6,0,1088,1088,"Unambiguous","Consistent",1088
"7703",2,29,"spillover2","fp",73,"spillover2 fp",6,0,290,290,"Unambiguous","Consistent",290
"7705",2,45,"spillover2","fp",73,"spillover2 fp",6,0,220,220,"Unambiguous","Consistent",220
"7707",2,41,"spillover2","fp",73,"spillover2 fp",6,0,835,835,"Unambiguous","Consistent",835
"7709",2,35,"spillover2","fp",73,"spillover2 fp",8,0,109,109,"Unambiguous","Inconsistent",109
"7711",2,44,"spillover2","fp",73,"spillover2 fp",5,0,272,272,"Ambiguous","Consistent",272
"7713",2,46,"spillover2","fp",73,"spillover2 fp",7,1,0,NA,"Ambiguous","Inconsistent",NA
"7715",2,26,"spillover2","fp",73,"spillover2 fp",7,1,0,NA,"Ambiguous","Inconsistent",NA
"7717",2,25,"spillover2","fp",73,"spillover2 fp",6,0,182,182,"Unambiguous","Consistent",182
"7719",2,47,"spillover2","fp",73,"spillover2 fp",8,0,290,290,"Unambiguous","Inconsistent",290
"7721",2,34,"spillover2","fp",73,"spillover2 fp",7,0,802,802,"Ambiguous","Inconsistent",802
"7723",2,43,"spillover2","fp",73,"spillover2 fp",8,0,387,387,"Unambiguous","Inconsistent",387
"7725",2,33,"spillover2","fp",73,"spillover2 fp",6,0,851,851,"Unambiguous","Consistent",851
"7727",2,39,"spillover2","fp",73,"spillover2 fp",8,0,721,721,"Unambiguous","Inconsistent",721
"7729",2,30,"spillover2","fp",73,"spillover2 fp",7,0,955,955,"Ambiguous","Inconsistent",955
"7731",2,31,"spillover2","fp",73,"spillover2 fp",8,0,752,752,"Unambiguous","Inconsistent",752
"7733",2,36,"spillover2","fp",73,"spillover2 fp",5,0,581,581,"Ambiguous","Consistent",581
"7735",2,27,"spillover2","fp",73,"spillover2 fp",8,0,1320,1320,"Unambiguous","Inconsistent",1320
"7737",3,36,"spillover2","fp",73,"spillover2 fp",6,0,1307,1307,"Unambiguous","Consistent",1307
"7739",3,27,"spillover2","fp",73,"spillover2 fp",5,0,1372,1372,"Ambiguous","Consistent",1372
"7741",3,37,"spillover2","fp",73,"spillover2 fp",7,0,1039,1039,"Ambiguous","Inconsistent",1039
"7743",3,41,"spillover2","fp",73,"spillover2 fp",7,0,965,965,"Ambiguous","Inconsistent",965
"7745",3,26,"spillover2","fp",73,"spillover2 fp",8,0,888,888,"Unambiguous","Inconsistent",888
"7747",3,45,"spillover2","fp",73,"spillover2 fp",7,0,664,664,"Ambiguous","Inconsistent",664
"7749",3,42,"spillover2","fp",73,"spillover2 fp",8,0,1417,1417,"Unambiguous","Inconsistent",1417
