"","subject","item","region","measure","proficiency","sort","condition","skips","rawdata","nozero","ambiguity","gender","trimmed_nozero"
"242",1,18,"disamb","rp",74,"disamb rp",2,0,507,507,"Ambiguous","Mismatch",507
"244",1,15,"disamb","rp",74,"disamb rp",3,0,548,548,"Unambiguous","Match",548
"246",1,1,"disamb","rp",74,"disamb rp",1,0,4768,4768,"Ambiguous","Match",4768
"248",1,6,"disamb","rp",74,"disamb rp",2,0,3075,3075,"Ambiguous","Mismatch",3075
"250",1,3,"disamb","rp",74,"disamb rp",3,0,1293,1293,"Unambiguous","Match",1293
"252",1,14,"disamb","rp",74,"disamb rp",2,0,1548,1548,"Ambiguous","Mismatch",1548
"254",1,4,"disamb","rp",74,"disamb rp",4,0,327,327,"Unambiguous","Mismatch",327
"256",1,17,"disamb","rp",74,"disamb rp",1,0,588,588,"Ambiguous","Match",588
"258",1,5,"disamb","rp",74,"disamb rp",1,0,733,733,"Ambiguous","Match",733
"260",1,13,"disamb","rp",74,"disamb rp",1,0,3116,3116,"Ambiguous","Match",3116
"262",1,22,"disamb","rp",74,"disamb rp",2,0,823,823,"Ambiguous","Mismatch",823
"264",1,8,"disamb","rp",74,"disamb rp",4,0,461,461,"Unambiguous","Mismatch",461
"266",1,9,"disamb","rp",74,"disamb rp",1,0,2846,2846,"Ambiguous","Match",2846
"268",1,19,"disamb","rp",74,"disamb rp",3,0,423,423,"Unambiguous","Match",423
"270",1,24,"disamb","rp",74,"disamb rp",4,0,380,380,"Unambiguous","Mismatch",380
"272",1,12,"disamb","rp",74,"disamb rp",4,0,1487,1487,"Unambiguous","Mismatch",1487
"274",1,20,"disamb","rp",74,"disamb rp",4,0,407,407,"Unambiguous","Mismatch",407
"276",1,10,"disamb","rp",74,"disamb rp",2,0,2289,2289,"Ambiguous","Mismatch",2289
"278",1,11,"disamb","rp",74,"disamb rp",3,0,494,494,"Unambiguous","Match",494
"280",1,16,"disamb","rp",74,"disamb rp",4,0,1076,1076,"Unambiguous","Mismatch",1076
"282",1,7,"disamb","rp",74,"disamb rp",3,0,836,836,"Unambiguous","Match",836
"284",1,2,"disamb","rp",74,"disamb rp",2,0,534,534,"Ambiguous","Mismatch",534
"286",1,21,"disamb","rp",74,"disamb rp",1,0,364,364,"Ambiguous","Match",364
"288",1,23,"disamb","rp",74,"disamb rp",3,0,752,752,"Unambiguous","Match",752
"962",2,16,"disamb","rp",71,"disamb rp",1,0,1582,1582,"Ambiguous","Match",1582
"964",2,4,"disamb","rp",71,"disamb rp",1,0,1643,1643,"Ambiguous","Match",1643
"966",2,2,"disamb","rp",71,"disamb rp",3,0,1862,1862,"Unambiguous","Match",1862
"968",2,13,"disamb","rp",71,"disamb rp",2,0,1604,1604,"Ambiguous","Mismatch",1604
"970",2,19,"disamb","rp",71,"disamb rp",4,0,1499,1499,"Unambiguous","Mismatch",1499
"972",2,12,"disamb","rp",71,"disamb rp",1,0,1716,1716,"Ambiguous","Match",1716
"974",2,10,"disamb","rp",71,"disamb rp",3,0,1015,1015,"Unambiguous","Match",1015
"976",2,3,"disamb","rp",71,"disamb rp",4,0,1491,1491,"Unambiguous","Mismatch",1491
"978",2,9,"disamb","rp",71,"disamb rp",2,0,1336,1336,"Ambiguous","Mismatch",1336
"980",2,21,"disamb","rp",71,"disamb rp",2,0,407,407,"Ambiguous","Mismatch",407
"982",2,15,"disamb","rp",71,"disamb rp",4,0,814,814,"Unambiguous","Mismatch",814
"984",2,18,"disamb","rp",71,"disamb rp",3,0,965,965,"Unambiguous","Match",965
"986",2,6,"disamb","rp",71,"disamb rp",3,0,721,721,"Unambiguous","Match",721
"988",2,5,"disamb","rp",71,"disamb rp",2,0,351,351,"Ambiguous","Mismatch",351
"990",2,14,"disamb","rp",71,"disamb rp",3,0,1377,1377,"Unambiguous","Match",1377
"992",2,1,"disamb","rp",71,"disamb rp",2,0,1006,1006,"Ambiguous","Mismatch",1006
"994",2,20,"disamb","rp",71,"disamb rp",1,0,1463,1463,"Ambiguous","Match",1463
"996",2,11,"disamb","rp",71,"disamb rp",4,0,677,677,"Unambiguous","Mismatch",677
"998",2,7,"disamb","rp",71,"disamb rp",4,0,958,958,"Unambiguous","Mismatch",958
"1000",2,23,"disamb","rp",71,"disamb rp",4,0,1060,1060,"Unambiguous","Mismatch",1060
"1002",2,8,"disamb","rp",71,"disamb rp",1,0,521,521,"Ambiguous","Match",521
"1004",2,17,"disamb","rp",71,"disamb rp",2,0,1093,1093,"Ambiguous","Mismatch",1093
"1006",2,24,"disamb","rp",71,"disamb rp",1,0,645,645,"Ambiguous","Match",645
"1008",2,22,"disamb","rp",71,"disamb rp",3,0,568,568,"Unambiguous","Match",568
"1682",3,18,"disamb","rp",72,"disamb rp",4,0,531,531,"Unambiguous","Mismatch",531
"1684",3,7,"disamb","rp",72,"disamb rp",1,0,5649,5649,"Ambiguous","Match",5649
"1686",3,16,"disamb","rp",72,"disamb rp",2,0,3176,3176,"Ambiguous","Mismatch",3176
"1688",3,5,"disamb","rp",72,"disamb rp",3,0,641,641,"Unambiguous","Match",641
"1690",3,24,"disamb","rp",72,"disamb rp",2,0,935,935,"Ambiguous","Mismatch",935
"1692",3,4,"disamb","rp",72,"disamb rp",2,0,3659,3659,"Ambiguous","Mismatch",3659
"1694",3,14,"disamb","rp",72,"disamb rp",4,0,884,884,"Unambiguous","Mismatch",884
"1696",3,1,"disamb","rp",72,"disamb rp",3,0,632,632,"Unambiguous","Match",632
"1698",3,9,"disamb","rp",72,"disamb rp",3,0,914,914,"Unambiguous","Match",914
"1700",3,22,"disamb","rp",72,"disamb rp",4,0,529,529,"Unambiguous","Mismatch",529
"1702",3,10,"disamb","rp",72,"disamb rp",4,0,587,587,"Unambiguous","Mismatch",587
"1704",3,6,"disamb","rp",72,"disamb rp",4,0,940,940,"Unambiguous","Mismatch",940
"1706",3,23,"disamb","rp",72,"disamb rp",1,0,763,763,"Ambiguous","Match",763
"1708",3,17,"disamb","rp",72,"disamb rp",3,0,797,797,"Unambiguous","Match",797
"1710",3,19,"disamb","rp",72,"disamb rp",1,0,2878,2878,"Ambiguous","Match",2878
"1712",3,13,"disamb","rp",72,"disamb rp",3,0,872,872,"Unambiguous","Match",872
"1714",3,20,"disamb","rp",72,"disamb rp",2,0,1319,1319,"Ambiguous","Mismatch",1319
"1716",3,11,"disamb","rp",72,"disamb rp",1,0,753,753,"Ambiguous","Match",753
"1718",3,2,"disamb","rp",72,"disamb rp",4,0,427,427,"Unambiguous","Mismatch",427
"1720",3,12,"disamb","rp",72,"disamb rp",2,0,1015,1015,"Ambiguous","Mismatch",1015
