"","subject","item","region","measure","proficiency","sort","condition","skips","rawdata","nozero","ambiguity","gender","trimmed_nozero"
"482",1,18,"disamb","tt",74,"disamb tt",2,0,982,982,"Ambiguous","Mismatch",982
"484",1,15,"disamb","tt",74,"disamb tt",3,0,974,974,"Unambiguous","Match",974
"486",1,1,"disamb","tt",74,"disamb tt",1,0,1906,1906,"Ambiguous","Match",1906
"488",1,6,"disamb","tt",74,"disamb tt",2,0,1451,1451,"Ambiguous","Mismatch",1451
"490",1,3,"disamb","tt",74,"disamb tt",3,0,1061,1061,"Unambiguous","Match",1061
"492",1,14,"disamb","tt",74,"disamb tt",2,0,704,704,"Ambiguous","Mismatch",704
"494",1,4,"disamb","tt",74,"disamb tt",4,0,695,695,"Unambiguous","Mismatch",695
"496",1,17,"disamb","tt",74,"disamb tt",1,0,800,800,"Ambiguous","Match",800
"498",1,5,"disamb","tt",74,"disamb tt",1,0,733,733,"Ambiguous","Match",733
"500",1,13,"disamb","tt",74,"disamb tt",1,0,1254,1254,"Ambiguous","Match",1254
"502",1,22,"disamb","tt",74,"disamb tt",2,0,823,823,"Ambiguous","Mismatch",823
"504",1,8,"disamb","tt",74,"disamb tt",4,0,1534,1534,"Unambiguous","Mismatch",1534
"506",1,9,"disamb","tt",74,"disamb tt",1,0,1129,1129,"Ambiguous","Match",1129
"508",1,19,"disamb","tt",74,"disamb tt",3,0,423,423,"Unambiguous","Match",423
"510",1,24,"disamb","tt",74,"disamb tt",4,0,808,808,"Unambiguous","Mismatch",808
"512",1,12,"disamb","tt",74,"disamb tt",4,0,2079,2079,"Unambiguous","Mismatch",2079
"514",1,20,"disamb","tt",74,"disamb tt",4,0,661,661,"Unambiguous","Mismatch",661
"516",1,10,"disamb","tt",74,"disamb tt",2,0,1468,1468,"Ambiguous","Mismatch",1468
"518",1,11,"disamb","tt",74,"disamb tt",3,0,877,877,"Unambiguous","Match",877
"520",1,16,"disamb","tt",74,"disamb tt",4,0,1454,1454,"Unambiguous","Mismatch",1454
"522",1,7,"disamb","tt",74,"disamb tt",3,0,1317,1317,"Unambiguous","Match",1317
"524",1,2,"disamb","tt",74,"disamb tt",2,0,2929,2929,"Ambiguous","Mismatch",2929
"526",1,21,"disamb","tt",74,"disamb tt",1,0,364,364,"Ambiguous","Match",364
"528",1,23,"disamb","tt",74,"disamb tt",3,0,1155,1155,"Unambiguous","Match",1155
"1202",2,16,"disamb","tt",71,"disamb tt",1,0,1238,1238,"Ambiguous","Match",1238
"1204",2,4,"disamb","tt",71,"disamb tt",1,0,3532,3532,"Ambiguous","Match",3532
"1206",2,2,"disamb","tt",71,"disamb tt",3,0,1977,1977,"Unambiguous","Match",1977
"1208",2,13,"disamb","tt",71,"disamb tt",2,0,1382,1382,"Ambiguous","Mismatch",1382
"1210",2,19,"disamb","tt",71,"disamb tt",4,0,1499,1499,"Unambiguous","Mismatch",1499
"1212",2,12,"disamb","tt",71,"disamb tt",1,0,2722,2722,"Ambiguous","Match",2722
"1214",2,10,"disamb","tt",71,"disamb tt",3,0,1015,1015,"Unambiguous","Match",1015
"1216",2,3,"disamb","tt",71,"disamb tt",4,0,1366,1366,"Unambiguous","Mismatch",1366
"1218",2,9,"disamb","tt",71,"disamb tt",2,0,1111,1111,"Ambiguous","Mismatch",1111
"1220",2,21,"disamb","tt",71,"disamb tt",2,0,407,407,"Ambiguous","Mismatch",407
"1222",2,15,"disamb","tt",71,"disamb tt",4,0,814,814,"Unambiguous","Mismatch",814
