"","subject","item","region","measure","proficiency","sort","condition","skips","rawdata","nozero","ambiguity","gender","trimmed_nozero"
"21012",1,18,"spillover1","tt",60,"spillover1 tt",2,0,514,514,"Ambiguous","Mismatch",514
"21014",1,15,"spillover1","tt",60,"spillover1 tt",3,0,381,381,"Unambiguous","Match",381
"21016",1,1,"spillover1","tt",60,"spillover1 tt",1,0,773,773,"Ambiguous","Match",773
"21018",1,6,"spillover1","tt",60,"spillover1 tt",2,0,478,478,"Ambiguous","Mismatch",478
"21020",1,3,"spillover1","tt",60,"spillover1 tt",3,0,455,455,"Unambiguous","Match",455
"21022",1,14,"spillover1","tt",60,"spillover1 tt",2,0,333,333,"Ambiguous","Mismatch",333
"21024",1,4,"spillover1","tt",60,"spillover1 tt",4,0,489,489,"Unambiguous","Mismatch",489
"21026",1,17,"spillover1","tt",60,"spillover1 tt",1,0,800,800,"Ambiguous","Match",800
"21028",1,5,"spillover1","tt",60,"spillover1 tt",1,0,733,733,"Ambiguous","Match",733
"21030",1,13,"spillover1","tt",60,"spillover1 tt",1,0,515,515,"Ambiguous","Match",515
"21032",1,22,"spillover1","tt",60,"spillover1 tt",2,0,304,304,"Ambiguous","Mismatch",304
"21034",1,8,"spillover1","tt",60,"spillover1 tt",4,0,667,667,"Unambiguous","Mismatch",667
"21036",1,9,"spillover1","tt",60,"spillover1 tt",1,0,761,761,"Ambiguous","Match",761
"21038",1,19,"spillover1","tt",60,"spillover1 tt",3,0,220,220,"Unambiguous","Match",220
"21040",1,24,"spillover1","tt",60,"spillover1 tt",4,0,411,411,"Unambiguous","Mismatch",411
"21042",1,12,"spillover1","tt",60,"spillover1 tt",4,0,1053,1053,"Unambiguous","Mismatch",1053
"21044",1,20,"spillover1","tt",60,"spillover1 tt",4,0,184,184,"Unambiguous","Mismatch",184
"21046",1,10,"spillover1","tt",60,"spillover1 tt",2,0,1312,1312,"Ambiguous","Mismatch",1312
"21048",1,11,"spillover1","tt",60,"spillover1 tt",3,0,386,386,"Unambiguous","Match",386
"21050",1,16,"spillover1","tt",60,"spillover1 tt",4,0,552,552,"Unambiguous","Mismatch",552
"21052",1,7,"spillover1","tt",60,"spillover1 tt",3,0,392,392,"Unambiguous","Match",392
