"","subject","item","region","measure","proficiency","sort","condition","skips","rawdata","nozero","ambiguity","gender","trimmed_nozero"
"386",1,18,"spillover2","rp",74,"spillover2 rp",2,0,1623,1623,"Ambiguous","Mismatch",1623
"388",1,15,"spillover2","rp",74,"spillover2 rp",3,0,4132,4132,"Unambiguous","Match",4132
"390",1,1,"spillover2","rp",74,"spillover2 rp",1,0,1960,1960,"Ambiguous","Match",1960
"392",1,6,"spillover2","rp",74,"spillover2 rp",2,0,1270,1270,"Ambiguous","Mismatch",1270
"394",1,3,"spillover2","rp",74,"spillover2 rp",3,0,1402,1402,"Unambiguous","Match",1402
"396",1,14,"spillover2","rp",74,"spillover2 rp",2,0,1460,1460,"Ambiguous","Mismatch",1460
"398",1,4,"spillover2","rp",74,"spillover2 rp",4,0,1100,1100,"Unambiguous","Mismatch",1100
"400",1,17,"spillover2","rp",74,"spillover2 rp",1,0,7546,7546,"Ambiguous","Match",7546
"402",1,5,"spillover2","rp",74,"spillover2 rp",1,0,2128,2128,"Ambiguous","Match",2128
"404",1,13,"spillover2","rp",74,"spillover2 rp",1,0,846,846,"Ambiguous","Match",846
"406",1,22,"spillover2","rp",74,"spillover2 rp",2,0,1064,1064,"Ambiguous","Mismatch",1064
"408",1,8,"spillover2","rp",74,"spillover2 rp",4,0,1862,1862,"Unambiguous","Mismatch",1862
"410",1,9,"spillover2","rp",74,"spillover2 rp",1,0,2616,2616,"Ambiguous","Match",2616
"412",1,19,"spillover2","rp",74,"spillover2 rp",3,0,1399,1399,"Unambiguous","Match",1399
"414",1,24,"spillover2","rp",74,"spillover2 rp",4,0,4777,4777,"Unambiguous","Mismatch",4777
"416",1,12,"spillover2","rp",74,"spillover2 rp",4,0,1839,1839,"Unambiguous","Mismatch",1839
"418",1,20,"spillover2","rp",74,"spillover2 rp",4,0,1313,1313,"Unambiguous","Mismatch",1313
"420",1,10,"spillover2","rp",74,"spillover2 rp",2,0,1516,1516,"Ambiguous","Mismatch",1516
"422",1,11,"spillover2","rp",74,"spillover2 rp",3,0,6105,6105,"Unambiguous","Match",6105
"424",1,16,"spillover2","rp",74,"spillover2 rp",4,0,724,724,"Unambiguous","Mismatch",724
"426",1,7,"spillover2","rp",74,"spillover2 rp",3,0,868,868,"Unambiguous","Match",868
"428",1,2,"spillover2","rp",74,"spillover2 rp",2,0,1099,1099,"Ambiguous","Mismatch",1099
"430",1,21,"spillover2","rp",74,"spillover2 rp",1,0,1227,1227,"Ambiguous","Match",1227
"432",1,23,"spillover2","rp",74,"spillover2 rp",3,0,1118,1118,"Unambiguous","Match",1118
"1106",2,16,"spillover2","rp",71,"spillover2 rp",1,0,2998,2998,"Ambiguous","Match",2998
"1108",2,4,"spillover2","rp",71,"spillover2 rp",1,0,15591,15591,"Ambiguous","Match",NA
"1110",2,2,"spillover2","rp",71,"spillover2 rp",3,0,5264,5264,"Unambiguous","Match",5264
"1112",2,13,"spillover2","rp",71,"spillover2 rp",2,0,2657,2657,"Ambiguous","Mismatch",2657
"1114",2,19,"spillover2","rp",71,"spillover2 rp",4,0,4651,4651,"Unambiguous","Mismatch",4651
"1116",2,12,"spillover2","rp",71,"spillover2 rp",1,0,5556,5556,"Ambiguous","Match",5556
"1118",2,10,"spillover2","rp",71,"spillover2 rp",3,0,765,765,"Unambiguous","Match",765
"1120",2,3,"spillover2","rp",71,"spillover2 rp",4,0,741,741,"Unambiguous","Mismatch",741
"1122",2,9,"spillover2","rp",71,"spillover2 rp",2,0,3928,3928,"Ambiguous","Mismatch",3928
"1124",2,21,"spillover2","rp",71,"spillover2 rp",2,0,1160,1160,"Ambiguous","Mismatch",1160
"1126",2,15,"spillover2","rp",71,"spillover2 rp",4,0,3466,3466,"Unambiguous","Mismatch",3466
"1128",2,18,"spillover2","rp",71,"spillover2 rp",3,0,1408,1408,"Unambiguous","Match",1408
"1130",2,6,"spillover2","rp",71,"spillover2 rp",3,0,1688,1688,"Unambiguous","Match",1688
"1132",2,5,"spillover2","rp",71,"spillover2 rp",2,0,1204,1204,"Ambiguous","Mismatch",1204
"1134",2,14,"spillover2","rp",71,"spillover2 rp",3,0,775,775,"Unambiguous","Match",775
"1136",2,1,"spillover2","rp",71,"spillover2 rp",2,0,583,583,"Ambiguous","Mismatch",583
"1138",2,20,"spillover2","rp",71,"spillover2 rp",1,0,690,690,"Ambiguous","Match",690
"1140",2,11,"spillover2","rp",71,"spillover2 rp",4,0,1098,1098,"Unambiguous","Mismatch",1098
"1142",2,7,"spillover2","rp",71,"spillover2 rp",4,0,1053,1053,"Unambiguous","Mismatch",1053
"1144",2,23,"spillover2","rp",71,"spillover2 rp",4,0,1323,1323,"Unambiguous","Mismatch",1323
"1146",2,8,"spillover2","rp",71,"spillover2 rp",1,0,978,978,"Ambiguous","Match",978
"1148",2,17,"spillover2","rp",71,"spillover2 rp",2,0,1168,1168,"Ambiguous","Mismatch",1168
"1150",2,24,"spillover2","rp",71,"spillover2 rp",1,0,1293,1293,"Ambiguous","Match",1293
"1152",2,22,"spillover2","rp",71,"spillover2 rp",3,0,1604,1604,"Unambiguous","Match",1604
"1826",3,18,"spillover2","rp",72,"spillover2 rp",4,0,14449,14449,"Unambiguous","Mismatch",14449
"1828",3,7,"spillover2","rp",72,"spillover2 rp",1,0,17480,17480,"Ambiguous","Match",17480
"1830",3,16,"spillover2","rp",72,"spillover2 rp",2,0,10814,10814,"Ambiguous","Mismatch",10814
"1832",3,5,"spillover2","rp",72,"spillover2 rp",3,0,9848,9848,"Unambiguous","Match",9848
"1834",3,24,"spillover2","rp",72,"spillover2 rp",2,0,22387,22387,"Ambiguous","Mismatch",22387
"1836",3,4,"spillover2","rp",72,"spillover2 rp",2,0,13179,13179,"Ambiguous","Mismatch",13179
"1838",3,14,"spillover2","rp",72,"spillover2 rp",4,0,9287,9287,"Unambiguous","Mismatch",9287
"1840",3,1,"spillover2","rp",72,"spillover2 rp",3,0,5938,5938,"Unambiguous","Match",5938
"1842",3,9,"spillover2","rp",72,"spillover2 rp",3,0,3992,3992,"Unambiguous","Match",3992
"1844",3,22,"spillover2","rp",72,"spillover2 rp",4,0,14572,14572,"Unambiguous","Mismatch",14572
"1846",3,10,"spillover2","rp",72,"spillover2 rp",4,0,1403,1403,"Unambiguous","Mismatch",1403
"1848",3,6,"spillover2","rp",72,"spillover2 rp",4,0,4254,4254,"Unambiguous","Mismatch",4254
"1850",3,23,"spillover2","rp",72,"spillover2 rp",1,0,8658,8658,"Ambiguous","Match",8658
"1852",3,17,"spillover2","rp",72,"spillover2 rp",3,0,1661,1661,"Unambiguous","Match",1661
"1854",3,19,"spillover2","rp",72,"spillover2 rp",1,0,1021,1021,"Ambiguous","Match",1021
"1856",3,13,"spillover2","rp",72,"spillover2 rp",3,0,841,841,"Unambiguous","Match",841
"1858",3,20,"spillover2","rp",72,"spillover2 rp",2,0,2979,2979,"Ambiguous","Mismatch",2979
"1860",3,11,"spillover2","rp",72,"spillover2 rp",1,0,705,705,"Ambiguous","Match",705
"1862",3,2,"spillover2","rp",72,"spillover2 rp",4,0,4423,4423,"Unambiguous","Mismatch",4423
"1864",3,12,"spillover2","rp",72,"spillover2 rp",2,0,9212,9212,"Ambiguous","Mismatch",9212
"1866",3,21,"spillover2","rp",72,"spillover2 rp",3,0,3005,3005,"Unambiguous","Match",3005
"1868",3,15,"spillover2","rp",72,"spillover2 rp",1,0,1940,1940,"Ambiguous","Match",1940
"1870",3,8,"spillover2","rp",72,"spillover2 rp",2,0,669,669,"Ambiguous","Mismatch",669
"1872",3,3,"spillover2","rp",72,"spillover2 rp",1,0,1319,1319,"Ambiguous","Match",1319
"2514",4,7,"spillover2","rp",66,"spillover2 rp",2,0,15202,15202,"Ambiguous","Mismatch",15202
"2516",4,8,"spillover2","rp",66,"spillover2 rp",3,0,2345,2345,"Unambiguous","Match",2345
"2518",4,11,"spillover2","rp",66,"spillover2 rp",2,0,8193,8193,"Ambiguous","Mismatch",8193
"2520",4,22,"spillover2","rp",66,"spillover2 rp",1,0,9242,9242,"Ambiguous","Match",9242
"2522",4,1,"spillover2","rp",66,"spillover2 rp",4,0,1706,1706,"Unambiguous","Mismatch",1706
"2524",4,20,"spillover2","rp",66,"spillover2 rp",3,0,3052,3052,"Unambiguous","Match",3052
"2526",4,23,"spillover2","rp",66,"spillover2 rp",2,0,2578,2578,"Ambiguous","Mismatch",2578
"2528",4,3,"spillover2","rp",66,"spillover2 rp",2,0,7428,7428,"Ambiguous","Mismatch",7428
"2531",4,19,"spillover2","rp",66,"spillover2 rp",2,0,3802,3802,"Ambiguous","Mismatch",3802
"2533",4,13,"spillover2","rp",66,"spillover2 rp",4,0,2230,2230,"Unambiguous","Mismatch",2230
"2535",4,9,"spillover2","rp",66,"spillover2 rp",4,0,2989,2989,"Unambiguous","Mismatch",2989
"2537",4,2,"spillover2","rp",66,"spillover2 rp",1,0,12145,12145,"Ambiguous","Match",12145
"2540",4,4,"spillover2","rp",66,"spillover2 rp",3,0,2022,2022,"Unambiguous","Match",2022
"2542",4,12,"spillover2","rp",66,"spillover2 rp",3,0,1911,1911,"Unambiguous","Match",1911
"2544",4,16,"spillover2","rp",66,"spillover2 rp",3,0,2291,2291,"Unambiguous","Match",2291
"2547",4,18,"spillover2","rp",66,"spillover2 rp",1,0,4415,4415,"Ambiguous","Match",4415
"2549",4,24,"spillover2","rp",66,"spillover2 rp",3,0,2453,2453,"Unambiguous","Match",2453
"2551",4,6,"spillover2","rp",66,"spillover2 rp",1,0,1463,1463,"Ambiguous","Match",1463
"2553",4,17,"spillover2","rp",66,"spillover2 rp",4,0,2147,2147,"Unambiguous","Mismatch",2147
"2556",4,14,"spillover2","rp",66,"spillover2 rp",1,0,1908,1908,"Ambiguous","Match",1908
"3205",5,13,"spillover2","rp",71,"spillover2 rp",1,0,2522,2522,"Ambiguous","Match",2522
"3207",5,4,"spillover2","rp",71,"spillover2 rp",4,0,2968,2968,"Unambiguous","Mismatch",2968
"3209",5,9,"spillover2","rp",71,"spillover2 rp",1,0,2620,2620,"Ambiguous","Match",2620
"3211",5,8,"spillover2","rp",71,"spillover2 rp",4,0,6343,6343,"Unambiguous","Mismatch",6343
"3213",5,7,"spillover2","rp",71,"spillover2 rp",3,0,2422,2422,"Unambiguous","Match",2422
"3215",5,16,"spillover2","rp",71,"spillover2 rp",4,0,2693,2693,"Unambiguous","Mismatch",2693
"3217",5,19,"spillover2","rp",71,"spillover2 rp",3,0,3607,3607,"Unambiguous","Match",3607
"3219",5,17,"spillover2","rp",71,"spillover2 rp",1,0,7591,7591,"Ambiguous","Match",7591
"3221",5,3,"spillover2","rp",71,"spillover2 rp",3,0,1023,1023,"Unambiguous","Match",1023
"3223",5,14,"spillover2","rp",71,"spillover2 rp",2,0,1427,1427,"Ambiguous","Mismatch",1427
"3225",5,1,"spillover2","rp",71,"spillover2 rp",1,0,1446,1446,"Ambiguous","Match",1446
"3227",5,15,"spillover2","rp",71,"spillover2 rp",3,0,996,996,"Unambiguous","Match",996
"3229",5,22,"spillover2","rp",71,"spillover2 rp",2,0,2136,2136,"Ambiguous","Mismatch",2136
"3231",5,18,"spillover2","rp",71,"spillover2 rp",2,0,1694,1694,"Ambiguous","Mismatch",1694
"3233",5,5,"spillover2","rp",71,"spillover2 rp",1,0,3614,3614,"Ambiguous","Match",3614
"3235",5,2,"spillover2","rp",71,"spillover2 rp",2,0,7415,7415,"Ambiguous","Mismatch",7415
"3237",5,23,"spillover2","rp",71,"spillover2 rp",3,0,4865,4865,"Unambiguous","Match",4865
"3239",5,21,"spillover2","rp",71,"spillover2 rp",1,0,2900,2900,"Ambiguous","Match",2900
"3241",5,20,"spillover2","rp",71,"spillover2 rp",4,0,7361,7361,"Unambiguous","Mismatch",7361
"3243",5,10,"spillover2","rp",71,"spillover2 rp",2,0,1905,1905,"Ambiguous","Mismatch",1905
"3245",5,12,"spillover2","rp",71,"spillover2 rp",4,0,4759,4759,"Unambiguous","Mismatch",4759
"3247",5,11,"spillover2","rp",71,"spillover2 rp",3,0,1639,1639,"Unambiguous","Match",1639
"3249",5,24,"spillover2","rp",71,"spillover2 rp",4,0,2217,2217,"Unambiguous","Mismatch",2217
"3251",5,6,"spillover2","rp",71,"spillover2 rp",2,0,4025,4025,"Ambiguous","Mismatch",4025
"3926",6,4,"spillover2","rp",70,"spillover2 rp",1,0,1933,1933,"Ambiguous","Match",1933
"3928",6,23,"spillover2","rp",70,"spillover2 rp",4,0,11294,11294,"Unambiguous","Mismatch",11294
"3930",6,12,"spillover2","rp",70,"spillover2 rp",1,0,4052,4052,"Ambiguous","Match",4052
"3932",6,19,"spillover2","rp",70,"spillover2 rp",4,0,23122,23122,"Unambiguous","Mismatch",23122
"3934",6,21,"spillover2","rp",70,"spillover2 rp",2,0,12020,12020,"Ambiguous","Mismatch",12020
"3936",6,9,"spillover2","rp",70,"spillover2 rp",2,0,5842,5842,"Ambiguous","Mismatch",5842
"3938",6,3,"spillover2","rp",70,"spillover2 rp",4,0,10398,10398,"Unambiguous","Mismatch",10398
"3940",6,1,"spillover2","rp",70,"spillover2 rp",2,0,13152,13152,"Ambiguous","Mismatch",13152
"3942",6,6,"spillover2","rp",70,"spillover2 rp",3,0,9280,9280,"Unambiguous","Match",9280
"3944",6,14,"spillover2","rp",70,"spillover2 rp",3,0,1314,1314,"Unambiguous","Match",1314
"3946",6,7,"spillover2","rp",70,"spillover2 rp",4,0,1742,1742,"Unambiguous","Mismatch",1742
"3948",6,8,"spillover2","rp",70,"spillover2 rp",1,0,5747,5747,"Ambiguous","Match",5747
"3950",6,18,"spillover2","rp",70,"spillover2 rp",3,0,5976,5976,"Unambiguous","Match",5976
"3952",6,24,"spillover2","rp",70,"spillover2 rp",1,0,1673,1673,"Ambiguous","Match",1673
"3954",6,15,"spillover2","rp",70,"spillover2 rp",4,0,6949,6949,"Unambiguous","Mismatch",6949
"3956",6,10,"spillover2","rp",70,"spillover2 rp",3,0,1149,1149,"Unambiguous","Match",1149
"3958",6,16,"spillover2","rp",70,"spillover2 rp",1,0,5886,5886,"Ambiguous","Match",5886
"3960",6,13,"spillover2","rp",70,"spillover2 rp",2,0,1444,1444,"Ambiguous","Mismatch",1444
"3962",6,17,"spillover2","rp",70,"spillover2 rp",2,0,1955,1955,"Ambiguous","Mismatch",1955
"3964",6,22,"spillover2","rp",70,"spillover2 rp",3,0,2418,2418,"Unambiguous","Match",2418
"3966",6,20,"spillover2","rp",70,"spillover2 rp",1,0,2195,2195,"Ambiguous","Match",2195
"3968",6,5,"spillover2","rp",70,"spillover2 rp",2,0,13131,13131,"Ambiguous","Mismatch",13131
"3970",6,11,"spillover2","rp",70,"spillover2 rp",4,0,20177,20177,"Unambiguous","Mismatch",20177
"3972",6,2,"spillover2","rp",70,"spillover2 rp",3,0,3666,3666,"Unambiguous","Match",3666
"4646",7,20,"spillover2","rp",63,"spillover2 rp",2,0,16906,16906,"Ambiguous","Mismatch",NA
"4648",7,4,"spillover2","rp",63,"spillover2 rp",2,0,8333,8333,"Ambiguous","Mismatch",8333
"4650",7,14,"spillover2","rp",63,"spillover2 rp",4,0,5174,5174,"Unambiguous","Mismatch",5174
"4652",7,24,"spillover2","rp",63,"spillover2 rp",2,0,1508,1508,"Ambiguous","Mismatch",1508
"4654",7,8,"spillover2","rp",63,"spillover2 rp",2,0,3982,3982,"Ambiguous","Mismatch",3982
"4656",7,21,"spillover2","rp",63,"spillover2 rp",3,0,1482,1482,"Unambiguous","Match",1482
"4658",7,18,"spillover2","rp",63,"spillover2 rp",4,0,2023,2023,"Unambiguous","Mismatch",2023
"4660",7,5,"spillover2","rp",63,"spillover2 rp",3,0,942,942,"Unambiguous","Match",942
"4662",7,1,"spillover2","rp",63,"spillover2 rp",3,0,459,459,"Unambiguous","Match",459
"4664",7,19,"spillover2","rp",63,"spillover2 rp",1,0,2637,2637,"Ambiguous","Match",2637
"4666",7,16,"spillover2","rp",63,"spillover2 rp",2,0,5769,5769,"Ambiguous","Mismatch",5769
"4668",7,15,"spillover2","rp",63,"spillover2 rp",1,0,3236,3236,"Ambiguous","Match",3236
"4670",7,23,"spillover2","rp",63,"spillover2 rp",1,0,4668,4668,"Ambiguous","Match",4668
"4672",7,10,"spillover2","rp",63,"spillover2 rp",4,0,5466,5466,"Unambiguous","Mismatch",5466
